DateTime,AddedIPs,RemovedIPs
1469929096,768,0
1469929992,256,2048
1469931480,1024,0
1469931795,0,256
1469932697,2048,0
1469934497,1536,1024
1469936293,1024,256
1469937189,0,1024
1469938120,1792,0
1469939908,1024,1024
1469941703,1792,512
1469943499,768,256
1469945829,1792,768
1469947109,768,768
1469949592,2560,1280
1469949806,0,256
1469950720,1280,0
1469952497,1536,768
1469953711,0,1280
1469954300,1280,0
1469955190,0,768
1469956100,1024,0
1469957896,256,512
1469960398,1280,768
1469960608,0,1280
1469961493,512,0
1469962390,0,512
1469963881,1536,0
1469965101,512,0
1469966908,1280,1024
1469967812,0,768
1469968698,512,1536
1469971059,1536,768
1469972298,256,0
1469973192,0,256
1469974730,1536,0
1469975028,0,256
1469975906,1792,0
1469977696,1024,0
1469978765,0,256
1469979506,768,0
1469980394,0,768
1469981874,2048,0
1469983126,1024,512
1469985466,2560,256
1469986695,512,512
1469987589,0,256
1469989033,3328,0
1469989396,0,1024
1469990295,1536,0
1469992096,1024,512
1469993897,768,0
1469994799,0,768
1469996275,768,0
1469996595,0,256
1469997503,768,0
1469998402,0,768
1469999992,2048,0
1470001103,768,0
1470001993,0,768
1470003451,2048,0
1470004697,1536,1280
1470005595,0,512
1470006507,1280,0
1470008300,1280,512
1470010120,768,0
1470011182,0,512
1470011906,512,0
1470012790,0,256
1470013708,1024,0
1470015507,512,768
1470017851,1792,768
1470019112,1536,1792
1470020896,1792,256
1470022700,768,256
1470023604,0,1536
1470024520,1024,0
1470026304,512,1024
1470028777,1536,512
1470032238,1280,1280
1470032602,256,0
1470033504,1536,1024
1470035301,1280,1024
1470038001,0,512
1470038904,768,0
1470040696,1024,768
1470042503,768,0
1470044317,512,512
1470045191,0,1536
1470046617,1536,0
1470047028,0,768
1470047897,1280,0
1470050384,768,512
1470052390,0,1280
1470053349,768,0
1470055119,1024,1024
1470057435,512,1536
1470058705,512,512
1470061017,1792,1280
1470061400,0,512
1470062295,768,0
1470064648,1536,0
1470065899,1024,0
1470067700,768,512
1470069503,1024,512
1470071896,1024,768
1470072188,0,512
1470073109,256,0
1470073998,0,512
1470074905,1536,0
1470076809,256,2048
1470078503,1536,0
1470080310,256,256
1470081196,0,1280
1470082682,1536,0
1470082990,0,256
1470084008,512,0
1470085744,1280,1280
1470086859,0,256
1470087495,1024,0
1470089970,768,0
1470091101,512,768
1470092921,1280,768
1470097051,1536,1280
1470098297,768,512
1470100100,1792,768
1470101900,768,256
1470104305,1024,512
1470104593,0,512
1470105496,512,0
1470106403,0,1280
1470107318,512,0
1470109098,256,0
1470111504,1280,1280
1470111795,0,1280
1470112697,1024,0
1470114519,2048,1280
1470116300,1024,0
1470118686,768,768
1470119051,0,1280
1470119901,768,0
1470122384,512,1536
1470123520,256,256
1470125294,512,1536
1470126229,0,1536
1470127101,1024,0
1470128904,1024,768
1470130700,1024,0
1470133183,2048,1024
1470133397,0,2048
1470134329,1024,0
1470136104,1280,768
1470137966,1024,0
1470138792,0,1280
1470140270,1280,0
1470141497,1280,2048
1470143316,1280,1024
1470144429,0,256
1470145093,512,0
1470145998,0,768
1470147464,1280,0
1470148707,1536,768
1470151027,1280,768
1470152296,768,512
1470154132,1024,512
1470155921,1536,512
1470156792,0,1280
1470157700,512,0
1470159521,768,0
1470161826,512,1024
1470163100,1024,1024
1470164908,1024,768
1470166004,0,512
1470166712,768,0
1470169048,768,1024
1470169392,256,768
1470170297,1536,0
1470172099,1024,256
1470173904,768,0
1470175740,256,1536
1470177510,0,768
1470178455,0,1792
1470179336,1024,0
1470180425,0,512
1470181108,1280,0
1470181994,256,0
1470183583,512,768
1470183809,0,1280
1470184717,2304,0
1470186501,1024,1024
1470188292,1792,256
1470190719,256,1536
1470190991,0,512
1470191901,1280,0
1470193697,1024,768
1470195491,512,0
1470196397,0,1280
1470197365,768,0
1470199099,256,1024
1470199996,0,512
1470201555,1792,0
1470201802,0,256
1470202705,512,0
1470203594,0,1024
1470205159,1536,256
1470206313,512,512
1470207196,0,1280
1470208101,2304,0
1470209437,256,0
1470211699,512,1024
1470213498,1536,1024
1470216000,768,2048
1470217101,1536,768
1470218900,768,768
1470219866,0,1024
1470220711,1280,0
1470223113,512,512
1470224298,1024,256
1470226118,1536,1024
1470227008,768,0
1470227927,768,1024
1470228799,0,512
1470230218,512,0
1470232396,0,1280
1470233843,512,0
1470235101,1280,1536
1470236910,1280,768
1470238698,1280,0
1470240505,512,768
1470242317,256,1536
1470244630,1280,1536
1470245029,0,256
1470245907,2048,0
1470248256,768,768
1470248608,0,1024
1470249495,256,0
1470250399,0,768
1470251855,1536,0
1470253102,512,0
1470254942,1024,1280
1470256826,1024,768
1470259060,1280,0
1470260327,0,512
1470261196,0,1536
1470262796,256,0
1470263898,1024,768
1470266267,1024,768
1470266593,0,256
1470267512,1024,0
1470269359,256,1792
1470271101,1024,256
1470272894,512,1280
1470274213,256,768
1470275594,0,1024
1470277065,768,0
1470278311,1024,1280
1470280783,1280,768
1470281903,1280,0
1470284396,1024,1280
1470285499,1280,2048
1470287933,768,2560
1470288196,0,256
1470289102,1024,0
1470290004,0,512
1470291556,768,0
1470291796,0,768
1470292700,1536,0
1470294497,2304,768
1470296306,1536,256
1470298121,512,0
1470299899,1280,768
1470301700,512,512
1470303498,512,512
1470305972,256,768
1470306188,0,768
1470307100,1024,0
1470307993,0,1024
1470309479,1024,0
1470309793,0,256
1470310707,768,0
